scenario_id,journey_id,booking_id,group_id,scenario_type,description,expected_system_behavior
SC0056,J000100,BK006634,GR006634,MULTIPLE_GROUPS_IN_SAME_COACH,Coach C2 contains multiple unrelated groups (variant 1).,Keep group membership isolated by group_id and never assume all passengers in a coach belong together.
SC0057,J000100,BK006634,GR006634,MULTIPLE_GROUPS_IN_SAME_COACH,Coach C2 contains multiple unrelated groups (variant 2).,Keep group membership isolated by group_id and never assume all passengers in a coach belong together.
SC0058,J000100,BK006634,GR006634,MULTIPLE_GROUPS_IN_SAME_COACH,Coach C2 contains multiple unrelated groups (variant 3).,Keep group membership isolated by group_id and never assume all passengers in a coach belong together.
SC0059,J000100,BK006634,GR006634,MULTIPLE_GROUPS_IN_SAME_COACH,Coach C2 contains multiple unrelated groups (variant 4).,Keep group membership isolated by group_id and never assume all passengers in a coach belong together.
SC0060,J000100,BK006634,GR006634,MULTIPLE_GROUPS_IN_SAME_COACH,Coach C2 contains multiple unrelated groups (variant 5).,Keep group membership isolated by group_id and never assume all passengers in a coach belong together.
SC0061,J000100,BK006634,GR006634,MULTIPLE_GROUPS_IN_SAME_COACH,Coach C2 contains multiple unrelated groups (variant 6).,Keep group membership isolated by group_id and never assume all passengers in a coach belong together.
SC0062,J000001,BK000027,GR000027,LARGE_GROUP,Large synthetic group BK000027 contains 7–8 passengers for scalability testing.,Handle groups of six to eight passengers and detect partial separation correctly.
SC0063,J000001,BK000030,GR000030,LARGE_GROUP,Large synthetic group BK000030 contains 7–8 passengers for scalability testing.,Handle groups of six to eight passengers and detect partial separation correctly.
SC0064,J000001,BK000038,GR000038,LARGE_GROUP,Large synthetic group BK000038 contains 7–8 passengers for scalability testing.,Handle groups of six to eight passengers and detect partial separation correctly.
SC0065,J000001,BK000048,GR000048,LARGE_GROUP,Large synthetic group BK000048 contains 7–8 passengers for scalability testing.,Handle groups of six to eight passengers and detect partial separation correctly.
SC0066,J000001,BK000051,GR000051,LARGE_GROUP,Large synthetic group BK000051 contains 7–8 passengers for scalability testing.,Handle groups of six to eight passengers and detect partial separation correctly.
SC0067,J000002,BK000133,GR000133,LARGE_GROUP,Large synthetic group BK000133 contains 7–8 passengers for scalability testing.,Handle groups of six to eight passengers and detect partial separation correctly.
SC0068,J000001,BK000023,GR000023,CHILD_WITH_FAMILY,Booking BK000023 includes a synthetic child passenger associated with the family/group.,Keep the child linked to the same travelling group and consider that relationship in matching inputs.
SC0069,J000003,BK000161,GR000161,CHILD_WITH_FAMILY,Booking BK000161 includes a synthetic child passenger associated with the family/group.,Keep the child linked to the same travelling group and consider that relationship in matching inputs.
SC0070,J000003,BK000184,GR000184,CHILD_WITH_FAMILY,Booking BK000184 includes a synthetic child passenger associated with the family/group.,Keep the child linked to the same travelling group and consider that relationship in matching inputs.
SC0071,J000004,BK000230,GR000230,CHILD_WITH_FAMILY,Booking BK000230 includes a synthetic child passenger associated with the family/group.,Keep the child linked to the same travelling group and consider that relationship in matching inputs.
SC0072,J000005,BK000299,GR000299,CHILD_WITH_FAMILY,Booking BK000299 includes a synthetic child passenger associated with the family/group.,Keep the child linked to the same travelling group and consider that relationship in matching inputs.
SC0073,J000007,BK000414,GR000414,CHILD_WITH_FAMILY,Booking BK000414 includes a synthetic child passenger associated with the family/group.,Keep the child linked to the same travelling group and consider that relationship in matching inputs.
SC0074,J000001,BK000029,GR000029,ELDERLY_PASSENGER,Synthetic senior passenger P000088 has a LOWER berth preference (variant 1).,Include the lower-berth preference in compatibility scoring without using medical information.
SC0075,J000001,BK000058,GR000058,ELDERLY_PASSENGER,Synthetic senior passenger P000190 has a LOWER berth preference (variant 2).,Include the lower-berth preference in compatibility scoring without using medical information.
SC0076,J000002,BK000087,GR000087,ELDERLY_PASSENGER,Synthetic senior passenger P000260 has a LOWER berth preference (variant 3).,Include the lower-berth preference in compatibility scoring without using medical information.
SC0077,J000002,BK000116,GR000116,ELDERLY_PASSENGER,Synthetic senior passenger P000343 has a LOWER berth preference (variant 4).,Include the lower-berth preference in compatibility scoring without using medical information.
SC0078,J000003,BK000174,GR000174,ELDERLY_PASSENGER,Synthetic senior passenger P000531 has a LOWER berth preference (variant 5).,Include the lower-berth preference in compatibility scoring without using medical information.
SC0079,J000004,BK000232,GR000232,ELDERLY_PASSENGER,Synthetic senior passenger P000719 has a LOWER berth preference (variant 6).,Include the lower-berth preference in compatibility scoring without using medical information.
SC0080,J000001,BK000030,GR000030,PENDING_EXCHANGE,Passenger P000097 is in the synthetic application state ALREADY_IN_PENDING_REQUEST (variant 1).,Do not offer unlimited conflicting requests for the same passenger; the application state is not an official railway reservation change.
SC0081,J000001,BK000035,GR000035,CONFIRMED_EXCHANGE,Passenger P000113 is in the synthetic application state ALREADY_CONFIRMED_SWAP (variant 1).,Do not offer unlimited conflicting requests for the same passenger; the application state is not an official railway reservation change.
SC0082,J000001,BK000030,GR000030,PENDING_EXCHANGE,Passenger P000097 is in the synthetic application state ALREADY_IN_PENDING_REQUEST (variant 2).,Do not offer unlimited conflicting requests for the same passenger; the application state is not an official railway reservation change.
SC0083,J000001,BK000035,GR000035,CONFIRMED_EXCHANGE,Passenger P000113 is in the synthetic application state ALREADY_CONFIRMED_SWAP (variant 2).,Do not offer unlimited conflicting requests for the same passenger; the application state is not an official railway reservation change.
SC0084,J000001,BK000030,GR000030,PENDING_EXCHANGE,Passenger P000097 is in the synthetic application state ALREADY_IN_PENDING_REQUEST (variant 3).,Do not offer unlimited conflicting requests for the same passenger; the application state is not an official railway reservation change.
SC0085,J000001,BK000035,GR000035,CONFIRMED_EXCHANGE,Passenger P000113 is in the synthetic application state ALREADY_CONFIRMED_SWAP (variant 3).,Do not offer unlimited conflicting requests for the same passenger; the application state is not an official railway reservation change.
SC0086,J000001,BK000030,GR000030,PENDING_EXCHANGE,Passenger P000097 is in the synthetic application state ALREADY_IN_PENDING_REQUEST (variant 4).,Do not offer unlimited conflicting requests for the same passenger; the application state is not an official railway reservation change.
SC0087,J000001,BK000035,GR000035,CONFIRMED_EXCHANGE,Passenger P000113 is in the synthetic application state ALREADY_CONFIRMED_SWAP (variant 4).,Do not offer unlimited conflicting requests for the same passenger; the application state is not an official railway reservation change.
SC0088,J000001,BK000030,GR000030,PENDING_EXCHANGE,Passenger P000097 is in the synthetic application state ALREADY_IN_PENDING_REQUEST (variant 5).,Do not offer unlimited conflicting requests for the same passenger; the application state is not an official railway reservation change.
SC0089,J000001,BK000035,GR000035,CONFIRMED_EXCHANGE,Passenger P000113 is in the synthetic application state ALREADY_CONFIRMED_SWAP (variant 5).,Do not offer unlimited conflicting requests for the same passenger; the application state is not an official railway reservation change.
SC0090,J000001,BK000030,GR000030,PENDING_EXCHANGE,Passenger P000097 is in the synthetic application state ALREADY_IN_PENDING_REQUEST (variant 6).,Do not offer unlimited conflicting requests for the same passenger; the application state is not an official railway reservation change.
SC0091,J000001,BK000035,GR000035,CONFIRMED_EXCHANGE,Passenger P000113 is in the synthetic application state ALREADY_CONFIRMED_SWAP (variant 6).,Do not offer unlimited conflicting requests for the same passenger; the application state is not an official railway reservation change.
SC0092,J000002,BK000100,GR000100,CANCELLED_BOOKING,Cancelled booking BK000100 must not appear in active exchange suggestions.,Exclude cancelled passengers from active exchange candidates.
SC0093,J000003,BK000200,GR000200,CANCELLED_BOOKING,Cancelled booking BK000200 must not appear in active exchange suggestions.,Exclude cancelled passengers from active exchange candidates.
SC0094,J000005,BK000300,GR000300,CANCELLED_BOOKING,Cancelled booking BK000300 must not appear in active exchange suggestions.,Exclude cancelled passengers from active exchange candidates.
SC0095,J000006,BK000400,GR000400,CANCELLED_BOOKING,Cancelled booking BK000400 must not appear in active exchange suggestions.,Exclude cancelled passengers from active exchange candidates.
SC0096,J000008,BK000500,GR000500,CANCELLED_BOOKING,Cancelled booking BK000500 must not appear in active exchange suggestions.,Exclude cancelled passengers from active exchange candidates.
SC0097,J000009,BK000600,GR000600,CANCELLED_BOOKING,Cancelled booking BK000600 must not appear in active exchange suggestions.,Exclude cancelled passengers from active exchange candidates.
SC0098,J000001,BK000033,GR000033,WAITLIST_RAC,RAC/waitlist booking BK000033 is a non-confirmed test record.,Keep RAC/waitlisted records out of confirmed-seat exchange matching unless explicitly represented by a business rule.
SC0099,J000001,BK000040,GR000040,WAITLIST_RAC,RAC/waitlist booking BK000040 is a non-confirmed test record.,Keep RAC/waitlisted records out of confirmed-seat exchange matching unless explicitly represented by a business rule.
SC0100,J000001,BK000066,GR000066,WAITLIST_RAC,RAC/waitlist booking BK000066 is a non-confirmed test record.,Keep RAC/waitlisted records out of confirmed-seat exchange matching unless explicitly represented by a business rule.
SC0101,J000002,BK000080,GR000080,WAITLIST_RAC,RAC/waitlist booking BK000080 is a non-confirmed test record.,Keep RAC/waitlisted records out of confirmed-seat exchange matching unless explicitly represented by a business rule.
SC0102,J000002,BK000099,GR000099,WAITLIST_RAC,RAC/waitlist booking BK000099 is a non-confirmed test record.,Keep RAC/waitlisted records out of confirmed-seat exchange matching unless explicitly represented by a business rule.
SC0103,J000002,BK000120,GR000120,WAITLIST_RAC,RAC/waitlist booking BK000120 is a non-confirmed test record.,Keep RAC/waitlisted records out of confirmed-seat exchange matching unless explicitly represented by a business rule.
